word_1,word_2,Score
asylum,madhouse,8.87
consumer,confidence,4.13
street,children,4.94
dividend,payment,7.63
direction,combination,2.25
cup,tableware,6.85
seafood,food,8.34
stock,egg,1.81
ministry,culture,4.69
journey,voyage,9.29
tiger,animal,7.0
shore,woodland,3.08
money,cash,9.15
professor,doctor,6.62
precedent,example,5.85
image,surface,4.56
noon,string,0.54
music,project,3.63
magician,wizard,9.02
museum,theater,7.19
situation,isolation,3.88
physics,chemistry,7.35
peace,atmosphere,3.69
cup,substance,1.92
Mexico,Brazil,7.44
football,tennis,6.63
computer,news,4.47
street,place,6.44
line,insurance,2.69
psychology,discipline,5.58
century,year,7.59
cell,phone,7.81
life,death,7.88
dollar,yen,7.78
furnace,stove,8.79
doctor,personnel,5.0
king,rook,5.92
life,term,4.5
energy,secretary,1.81
smart,student,4.62
chance,credibility,3.88
tiger,organism,4.77
rooster,voyage,0.62
fuck,sex,9.44
planet,sun,8.02
planet,moon,8.08
possibility,girl,1.94
viewer,serial,2.97
psychology,psychiatry,8.08
atmosphere,landscape,3.69
announcement,production,3.38
midday,noon,9.29
stock,CD,1.31
benchmark,index,4.25
glass,magician,2.08
media,trading,3.88
football,soccer,9.03
stock,jaguar,0.92
professor,cucumber,0.31
Arafat,Jackson,2.5
tiger,carnivore,7.08
hospital,infrastructure,4.63
vodka,brandy,8.13
psychology,science,6.71
tiger,mammal,6.85
cucumber,potato,5.92
announcement,news,7.56
cup,food,5.0
forest,graveyard,1.85
opera,industry,2.63
monk,slave,0.92
precedent,antecedent,6.04
money,operation,3.31
president,medal,3.0
start,year,4.06
listing,proximity,2.56
coast,forest,3.15
experience,music,3.47
coast,shore,9.1
sugar,approach,0.88
seafood,lobster,8.7
football,basketball,6.81
opera,performance,6.88
school,center,3.44
delay,racism,1.19
century,nation,3.16
minority,peace,3.69
space,chemistry,4.88
wood,forest,7.73
tiger,tiger,10.0
media,radio,7.42
Wednesday,news,2.22
lad,wizard,0.92
street,avenue,8.88
profit,loss,7.63
board,recommendation,4.47
tiger,cat,7.35
money,currency,9.04
word,similarity,4.75
cup,article,2.4
television,radio,6.77
architecture,century,3.78
aluminum,metal,7.83
focus,life,4.06
lobster,food,7.81
bishop,rabbi,6.69
volunteer,motto,2.56
precedent,cognition,2.81
seven,series,3.56
theater,history,3.91
cup,artifact,2.92
Mars,water,2.94
bird,crane,7.38
plane,car,5.77
precedent,information,3.85
situation,conclusion,4.81
journal,association,4.97
peace,plan,4.75
money,dollar,8.42
travel,activity,5.0
reason,hypertension,2.31
food,rooster,4.42
production,hike,1.75
practice,institution,3.19
bread,butter,6.19
tiger,jaguar,8.0
delay,news,3.31
car,automobile,8.94
calculation,computation,8.44
prejudice,recognition,3.0
murder,manslaughter,8.53
crane,implement,2.69
glass,metal,5.56
observation,architecture,4.38
dollar,buck,9.22
championship,tournament,8.36
lad,brother,4.46
morality,marriage,3.69
drink,car,3.04
rock,jazz,7.59
start,match,4.47
chord,smile,0.54
man,woman,8.3
shower,thunderstorm,6.31
stock,life,0.92
marathon,sprint,7.47
development,issue,3.97
attempt,peace,4.25
sign,recess,2.38
morality,importance,3.31
